timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10328,25.0000,514
10528,245.0000,908
10620,220.0000,1000
10664,305.0000,1083
10740,95.0000,471
10924,170.0000,450
11112,270.0000,538
11188,235.0000,495
11360,315.0000,751
11380,270.0000,512
11848,540.0000,798
11908,160.0000,603
11988,465.0000,848
12044,250.0000,715
12104,20.0000,293
12116,20.0000,260
12316,50.0000,305
12584,15.0000,526
12752,105.0000,697
13032,135.0000,480
13324,215.0000,1055
13500,785.0000,1554
13652,155.0000,936
13792,0.0000,503
13936,180.0000,952
13984,180.0000,521
14144,115.0000,269
14284,125.0000,525
14380,270.0000,783
14604,55.0000,283
14676,295.0000,588
14792,345.0000,868
15556,205.0000,803
15692,965.0000,1440
15724,355.0000,1154
15792,200.0000,1159
15984,20.0000,458
16120,15.0000,382
16164,110.0000,474
16560,265.0000,635
16668,285.0000,1025
16940,375.0000,857
17220,335.0000,699
17256,365.0000,1124
17596,150.0000,699
17720,205.0000,499
17880,190.0000,699
18052,10.0000,498
18140,100.0000,479
18392,700.0000,1757
18396,115.0000,298
18508,320.0000,660
18844,210.0000,492
18844,210.0000,483
18904,250.0000,433
19036,665.0000,1042
19284,160.0000,496
19376,235.0000,569
19528,150.0000,684
19632,175.0000,397
19656,310.0000,667
19896,170.0000,578
19896,190.0000,428
20088,160.0000,490
20216,125.0000,611
20312,70.0000,474
20548,135.0000,706
20692,150.0000,536
20704,285.0000,665
21032,205.0000,526
21340,140.0000,1073
21364,230.0000,704
21428,310.0000,783
21560,245.0000,565
21764,100.0000,441
22056,310.0000,754
22216,195.0000,711
22300,375.0000,925
22496,110.0000,490
22820,270.0000,1109
23000,595.0000,841
23044,155.0000,607
23116,340.0000,856
23520,60.0000,516
23556,10.0000,493
23660,100.0000,690
23704,190.0000,921
23860,15.0000,379
24048,90.0000,528
24112,80.0000,453
24208,130.0000,392
24348,145.0000,288
24704,360.0000,1084
24756,330.0000,746
24784,195.0000,468
25236,90.0000,535
25288,250.0000,623
25500,315.0000,1332
25560,345.0000,820
25676,50.0000,449
26220,195.0000,777
26224,180.0000,1041
26296,275.0000,671
26388,355.0000,881
26656,45.0000,490
26872,165.0000,707
27136,255.0000,533
27168,485.0000,827
27360,230.0000,1110
27576,505.0000,751
27596,155.0000,511
27928,320.0000,796
28028,220.0000,727
28052,115.0000,511
28192,125.0000,649
28396,50.0000,521
28676,225.0000,695
28912,305.0000,758
29204,240.0000,844
29268,210.0000,646
29468,155.0000,605
29648,105.0000,493
29652,855.0000,1642
30000,240.0000,775
