timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10288,185.0000,669
10292,20.0000,476
10640,65.0000,1058
10776,285.0000,1157
11048,115.0000,815
11080,100.0000,493
11160,215.0000,917
11232,195.0000,512
11440,115.0000,263
11680,220.0000,678
12040,240.0000,653
12248,285.0000,617
12264,300.0000,1166
12276,435.0000,1249
12688,120.0000,681
12844,160.0000,618
12844,390.0000,621
13112,60.0000,472
13180,725.0000,974
13276,105.0000,491
13460,70.0000,384
13492,170.0000,700
13940,120.0000,484
13960,235.0000,814
14104,240.0000,858
14256,345.0000,827
14524,215.0000,626
14660,275.0000,775
14684,120.0000,461
15020,130.0000,535
15128,400.0000,1074
15216,155.0000,613
15456,315.0000,821
15680,260.0000,614
15824,210.0000,643
16092,470.0000,1105
16260,210.0000,636
16308,75.0000,277
16552,410.0000,1132
16776,50.0000,263
16860,110.0000,641
16892,115.0000,622
16924,445.0000,1135
17392,155.0000,501
17432,230.0000,626
17556,330.0000,817
17896,195.0000,498
17984,225.0000,627
18036,495.0000,1185
18200,105.0000,347
18240,270.0000,741
18304,155.0000,378
18456,50.0000,274
18520,95.0000,516
18892,295.0000,631
19048,235.0000,636
19096,190.0000,938
19104,355.0000,619
19504,180.0000,495
19536,115.0000,493
19728,320.0000,687
19764,370.0000,908
20112,150.0000,660
20112,200.0000,633
20172,125.0000,466
20376,160.0000,697
20568,180.0000,517
20832,200.0000,710
20860,295.0000,802
20920,80.0000,393
21312,190.0000,494
21380,305.0000,581
21384,390.0000,1058
21392,155.0000,510
21812,75.0000,489
21888,165.0000,615
21956,180.0000,611
22036,260.0000,704
22140,130.0000,361
22600,270.0000,622
22620,120.0000,520
22876,605.0000,958
22936,605.0000,1102
23040,180.0000,492
23104,205.0000,537
23288,105.0000,289
23536,175.0000,469
23588,320.0000,769
23840,195.0000,607
23996,105.0000,505
24036,130.0000,503
24120,600.0000,1241
24652,405.0000,848
24708,215.0000,618
24816,275.0000,828
24832,465.0000,887
25380,295.0000,765
25416,210.0000,616
25628,430.0000,850
25732,50.0000,357
25904,175.0000,1235
26192,290.0000,867
26648,460.0000,1060
26812,415.0000,1130
26820,350.0000,953
27264,390.0000,1125
27576,180.0000,816
27592,215.0000,826
27700,170.0000,493
27888,465.0000,1278
28296,195.0000,649
28364,185.0000,508
28456,435.0000,902
28464,415.0000,938
28776,80.0000,466
28832,90.0000,588
28840,125.0000,422
29008,230.0000,608
29260,185.0000,481
29280,185.0000,500
29332,250.0000,617
29372,120.0000,402
29616,90.0000,383
29848,310.0000,627
29940,290.0000,658
29940,265.0000,617
