timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10116,200.0000,498
10424,155.0000,611
10432,330.0000,813
10532,385.0000,950
10828,30.0000,461
10892,35.0000,516
11020,105.0000,948
11160,0.0000,682
11276,0.0000,494
11444,0.0000,483
11540,15.0000,701
11728,100.0000,501
11816,225.0000,409
11820,140.0000,715
12264,250.0000,775
12272,120.0000,506
12628,390.0000,861
12728,170.0000,492
12768,140.0000,1082
12832,205.0000,600
13200,260.0000,631
13228,195.0000,495
13360,275.0000,575
13592,385.0000,919
13856,85.0000,688
13880,170.0000,710
14144,230.0000,608
14164,400.0000,838
14556,200.0000,739
14660,215.0000,828
14824,430.0000,713
15000,260.0000,869
15104,220.0000,506
15260,40.0000,292
15536,340.0000,1011
15732,325.0000,942
15740,105.0000,691
15968,185.0000,491
16020,240.0000,807
16112,60.0000,412
16172,155.0000,473
16372,155.0000,388
16484,200.0000,407
16748,330.0000,817
16764,220.0000,432
16984,500.0000,867
17200,185.0000,470
17472,170.0000,1045
17628,355.0000,921
17880,245.0000,930
17944,260.0000,803
18304,225.0000,470
18340,180.0000,744
18524,155.0000,1097
18776,5.0000,515
18888,15.0000,400
18964,335.0000,1078
19280,130.0000,974
19400,245.0000,483
19556,90.0000,336
19816,335.0000,984
19884,225.0000,523
19960,355.0000,1240
20384,260.0000,617
20436,250.0000,604
20600,310.0000,1101
20832,295.0000,922
20844,140.0000,492
20880,195.0000,505
21288,120.0000,491
21352,140.0000,514
21452,185.0000,673
21480,395.0000,935
21664,175.0000,434
21860,225.0000,470
22072,280.0000,760
22320,265.0000,880
22400,110.0000,373
22532,285.0000,918
22980,205.0000,1154
22996,120.0000,505
23104,185.0000,823
23164,440.0000,803
23720,625.0000,780
23728,585.0000,784
23964,115.0000,914
24388,375.0000,1278
24500,295.0000,831
24632,495.0000,941
25108,180.0000,513
25140,175.0000,677
25160,365.0000,830
25180,410.0000,1272
25588,225.0000,536
25612,180.0000,517
25972,290.0000,860
26144,265.0000,995
26480,275.0000,546
26748,255.0000,1210
26752,410.0000,1190
26752,305.0000,648
26968,305.0000,529
27176,160.0000,486
27544,285.0000,829
27668,220.0000,949
27868,240.0000,940
27948,185.0000,824
28056,185.0000,431
28216,275.0000,734
28548,105.0000,545
28844,135.0000,679
28872,185.0000,976
29272,435.0000,1436
29280,215.0000,485
29332,335.0000,829
29508,45.0000,288
29700,155.0000,482
