timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10264,155.0000,645
10296,5.0000,481
10492,105.0000,910
10532,375.0000,914
10820,185.0000,610
11132,475.0000,892
11240,235.0000,476
11840,70.0000,753
12088,280.0000,1591
12100,135.0000,912
12156,330.0000,1717
12552,345.0000,762
12896,555.0000,843
12976,110.0000,467
12988,270.0000,921
13412,710.0000,1310
13480,195.0000,541
13480,165.0000,541
13808,130.0000,389
13880,140.0000,518
13904,220.0000,458
14024,650.0000,1163
14284,45.0000,513
14352,25.0000,529
14380,105.0000,509
14584,180.0000,609
14772,105.0000,422
15060,135.0000,807
15072,200.0000,522
15104,295.0000,782
15260,270.0000,538
15732,315.0000,733
15780,150.0000,724
16092,255.0000,866
16176,590.0000,1149
16484,185.0000,432
16580,340.0000,887
16640,595.0000,921
16844,345.0000,727
16860,115.0000,277
17016,435.0000,569
17356,200.0000,548
17376,215.0000,836
17516,300.0000,700
17580,220.0000,622
17628,65.0000,285
17952,150.0000,490
17980,100.0000,460
18296,390.0000,975
18468,510.0000,874
18576,215.0000,641
18608,245.0000,692
18676,75.0000,266
18912,65.0000,293
18964,160.0000,427
18980,235.0000,715
19264,105.0000,405
19288,525.0000,714
19592,180.0000,679
19720,160.0000,496
19732,90.0000,486
20084,540.0000,1125
20332,330.0000,799
20468,325.0000,793
20516,150.0000,491
20712,485.0000,1032
20904,135.0000,484
21044,195.0000,572
21132,625.0000,841
21292,180.0000,633
21396,325.0000,544
21804,115.0000,713
21924,395.0000,688
22164,280.0000,1157
22240,105.0000,347
22248,540.0000,913
22292,215.0000,534
22488,95.0000,285
22808,310.0000,699
22908,325.0000,656
22928,345.0000,714
23148,190.0000,699
23276,160.0000,519
23368,50.0000,279
23512,420.0000,660
23796,425.0000,907
23908,255.0000,591
23924,240.0000,682
23984,210.0000,530
24020,135.0000,274
24524,210.0000,662
24588,130.0000,604
24596,280.0000,719
24744,210.0000,807
24816,55.0000,278
24996,220.0000,530
25248,470.0000,707
25392,270.0000,684
25464,250.0000,698
25572,60.0000,375
25640,305.0000,688
25828,75.0000,288
26052,255.0000,702
26264,280.0000,843
26512,350.0000,726
26704,225.0000,692
26704,330.0000,1117
26748,75.0000,286
26976,90.0000,303
27004,90.0000,303
27424,205.0000,502
27452,195.0000,486
27508,220.0000,850
27628,410.0000,1419
27692,110.0000,294
27760,85.0000,298
28072,110.0000,482
28172,345.0000,809
28260,195.0000,605
28396,215.0000,684
28508,125.0000,298
28604,135.0000,480
28968,155.0000,512
28976,435.0000,942
28996,225.0000,650
29032,200.0000,458
29580,290.0000,654
29636,270.0000,671
29716,345.0000,798
29732,290.0000,732
