timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10116,165.0000,498
10300,170.0000,721
10744,255.0000,930
10820,120.0000,748
11088,280.0000,1467
11100,155.0000,853
11568,235.0000,883
11636,180.0000,876
11736,130.0000,705
11740,95.0000,693
11956,15.0000,267
12052,60.0000,372
12152,175.0000,631
12256,230.0000,655
12692,170.0000,794
12720,140.0000,617
12784,125.0000,578
12928,15.0000,267
12936,5.0000,257
13056,135.0000,1054
13352,130.0000,605
13528,85.0000,503
13612,195.0000,734
13840,230.0000,938
14168,190.0000,686
14188,180.0000,637
14224,120.0000,443
14304,195.0000,1007
14580,160.0000,449
14708,220.0000,574
15032,220.0000,848
15108,220.0000,862
15164,155.0000,488
15344,265.0000,808
15628,85.0000,496
15732,170.0000,660
16044,195.0000,756
16072,400.0000,1070
16160,150.0000,464
16448,410.0000,870
16508,145.0000,498
16828,145.0000,701
16844,425.0000,831
16964,150.0000,501
17088,290.0000,673
17552,175.0000,633
17648,310.0000,842
17732,195.0000,686
17804,290.0000,1011
18048,265.0000,553
18416,175.0000,672
18444,135.0000,837
18468,450.0000,772
18632,290.0000,634
19152,170.0000,741
19184,330.0000,602
19188,225.0000,814
19220,455.0000,812
19476,45.0000,353
19620,135.0000,503
19644,215.0000,482
19856,345.0000,703
19868,75.0000,427
19980,205.0000,419
20228,235.0000,631
20392,120.0000,470
20508,245.0000,710
20692,185.0000,502
20856,510.0000,1028
21044,295.0000,706
21072,220.0000,612
21104,190.0000,465
21280,80.0000,476
21444,270.0000,405
21500,160.0000,496
21544,160.0000,500
21764,245.0000,520
21920,220.0000,526
22076,295.0000,616
22136,105.0000,274
22292,255.0000,788
22360,250.0000,643
22844,120.0000,535
23032,510.0000,946
23080,355.0000,827
23096,455.0000,1076
23280,210.0000,469
23548,165.0000,506
23692,260.0000,702
23768,260.0000,529
23860,375.0000,827
24200,215.0000,560
24344,325.0000,627
24476,425.0000,959
24592,145.0000,772
24816,200.0000,519
24876,180.0000,338
24876,315.0000,713
25012,200.0000,573
25204,120.0000,368
25516,215.0000,698
25584,180.0000,610
25608,355.0000,828
25956,175.0000,489
26268,400.0000,1121
26388,345.0000,863
26428,265.0000,875
26676,110.0000,461
26876,485.0000,957
26968,260.0000,630
27112,305.0000,721
27308,265.0000,474
27448,185.0000,526
27544,185.0000,484
27756,210.0000,489
27756,295.0000,1140
27872,110.0000,381
27888,195.0000,501
28144,135.0000,421
28144,70.0000,314
28288,90.0000,444
28388,290.0000,685
28700,315.0000,602
28772,375.0000,685
28816,135.0000,482
28852,265.0000,619
29124,135.0000,467
29388,350.0000,626
29424,155.0000,617
29488,185.0000,395
29532,405.0000,818
29676,110.0000,297
29752,55.0000,270
29824,115.0000,474
29924,105.0000,488
