timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10116,5.0000,302
10196,185.0000,578
10300,115.0000,721
10480,255.0000,861
10580,65.0000,521
10664,180.0000,523
10940,140.0000,506
11004,50.0000,395
11184,330.0000,936
11368,310.0000,832
11536,140.0000,583
11700,110.0000,379
11716,205.0000,835
11848,50.0000,344
11988,45.0000,332
12028,250.0000,896
12332,195.0000,653
12388,140.0000,587
12608,115.0000,654
12804,225.0000,828
12856,105.0000,504
12992,160.0000,709
13100,15.0000,354
13296,205.0000,748
13332,155.0000,508
13548,65.0000,478
13680,235.0000,725
13760,115.0000,458
13984,185.0000,484
14228,225.0000,972
14484,375.0000,862
14564,240.0000,852
14708,110.0000,512
14724,185.0000,800
14896,80.0000,365
14920,55.0000,274
14964,125.0000,537
15180,35.0000,297
15304,165.0000,638
15368,95.0000,514
15640,175.0000,710
15668,135.0000,527
15904,45.0000,573
16100,245.0000,838
16212,380.0000,607
16276,90.0000,430
16304,40.0000,257
16452,525.0000,818
16700,65.0000,430
16712,135.0000,495
16916,340.0000,501
17032,360.0000,850
17128,90.0000,460
17164,125.0000,507
17356,55.0000,266
17500,30.0000,378
17672,275.0000,817
17748,245.0000,751
17840,135.0000,396
17848,100.0000,545
18104,185.0000,489
18212,80.0000,423
18392,370.0000,599
18500,60.0000,451
18564,60.0000,394
18592,325.0000,904
18792,20.0000,267
18928,55.0000,381
19012,30.0000,264
19088,140.0000,629
19200,255.0000,859
19428,125.0000,536
19472,115.0000,499
19540,130.0000,490
19764,70.0000,348
19808,60.0000,323
19824,470.0000,686
19940,215.0000,569
20128,30.0000,376
20152,95.0000,443
20340,110.0000,451
20476,290.0000,672
20596,30.0000,290
20748,220.0000,652
20836,110.0000,734
21000,85.0000,289
21128,50.0000,329
21176,140.0000,630
21364,410.0000,926
21460,60.0000,372
21592,50.0000,281
21680,180.0000,564
21684,280.0000,722
21816,110.0000,397
21928,55.0000,304
21936,40.0000,308
22176,185.0000,619
22404,100.0000,526
22416,170.0000,522
22648,125.0000,519
22772,40.0000,414
22784,290.0000,999
22828,95.0000,464
23040,5.0000,247
23068,35.0000,341
23084,55.0000,487
23256,160.0000,542
23332,50.0000,325
23456,70.0000,454
23532,95.0000,479
23544,75.0000,333
23752,110.0000,469
23832,70.0000,434
23832,105.0000,341
24016,160.0000,525
24152,30.0000,372
24196,180.0000,476
24420,65.0000,450
24428,285.0000,647
24476,35.0000,312
24576,65.0000,483
24684,20.0000,248
24984,20.0000,463
25072,200.0000,696
25188,300.0000,807
25272,160.0000,635
25320,50.0000,296
25400,65.0000,467
25492,125.0000,341
25752,45.0000,522
25824,230.0000,552
25860,80.0000,515
26144,75.0000,425
26304,65.0000,484
26364,80.0000,574
26404,245.0000,966
26732,90.0000,476
26752,40.0000,385
26808,175.0000,724
27044,95.0000,723
27396,240.0000,714
27400,185.0000,697
27412,195.0000,652
27484,55.0000,475
27728,50.0000,292
27768,90.0000,401
27784,100.0000,437
27836,140.0000,488
27996,50.0000,278
28188,95.0000,518
28204,85.0000,423
28220,45.0000,478
28232,65.0000,273
28420,55.0000,292
28556,20.0000,359
28668,185.0000,506
28872,190.0000,698
28892,50.0000,392
28892,155.0000,514
29128,135.0000,496
29140,50.0000,311
29360,120.0000,520
29392,90.0000,541
29472,85.0000,364
29548,65.0000,451
29620,20.0000,285
29740,35.0000,438
29872,70.0000,371
