timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10136,100.0000,517
10304,75.0000,488
10320,160.0000,741
10560,225.0000,470
10592,385.0000,972
10684,190.0000,439
10976,95.0000,478
11164,115.0000,527
11216,305.0000,949
11404,245.0000,869
11664,285.0000,726
11872,350.0000,524
11964,305.0000,803
12052,290.0000,925
12436,165.0000,522
12552,60.0000,731
12564,135.0000,949
12608,185.0000,597
13000,140.0000,480
13208,245.0000,636
13444,545.0000,917
13468,270.0000,1089
13680,285.0000,726
13780,160.0000,634
13832,105.0000,395
14332,310.0000,689
14444,750.0000,1045
14520,220.0000,778
14548,420.0000,764
14772,170.0000,472
14880,40.0000,391
14988,135.0000,499
15080,210.0000,694
15216,120.0000,477
15584,555.0000,759
15612,145.0000,686
15644,105.0000,477
15656,220.0000,610
15904,115.0000,363
15972,145.0000,399
16132,255.0000,510
16340,290.0000,729
16416,250.0000,565
16624,210.0000,525
16660,75.0000,279
16680,280.0000,748
16784,110.0000,484
16916,105.0000,325
17136,140.0000,491
17220,135.0000,470
17244,135.0000,630
17356,150.0000,497
17644,250.0000,543
17756,185.0000,593
17812,415.0000,610
17984,180.0000,673
18036,110.0000,280
18216,240.0000,632
18260,135.0000,562
18536,120.0000,377
18960,515.0000,1012
18992,265.0000,1004
19164,105.0000,683
19276,625.0000,1062
19424,200.0000,482
19688,250.0000,784
19716,160.0000,479
19880,210.0000,517
19900,515.0000,776
20296,215.0000,659
20396,475.0000,732
20684,175.0000,837
20788,120.0000,526
20896,420.0000,1022
20940,235.0000,604
21180,100.0000,535
21272,225.0000,533
21612,110.0000,483
21624,290.0000,782
21664,275.0000,767
22052,190.0000,476
22132,160.0000,507
22180,410.0000,969
22268,165.0000,701
22488,150.0000,480
22632,175.0000,503
22732,275.0000,645
23196,170.0000,501
23204,280.0000,766
23340,160.0000,750
23360,390.0000,1124
23808,210.0000,636
23808,145.0000,488
23832,145.0000,692
23904,195.0000,617
24028,115.0000,263
24032,115.0000,263
24404,370.0000,627
24600,215.0000,734
24656,165.0000,680
24660,150.0000,689
25060,180.0000,499
25084,190.0000,475
25400,430.0000,1043
25524,380.0000,914
25716,360.0000,712
25864,95.0000,379
25900,445.0000,862
26308,260.0000,645
26468,280.0000,626
26492,285.0000,683
26656,555.0000,1292
26896,260.0000,647
26916,190.0000,492
27100,160.0000,487
27540,305.0000,1085
27572,270.0000,709
27732,275.0000,890
27916,180.0000,426
27956,240.0000,896
28164,95.0000,485
28336,150.0000,472
28696,535.0000,1167
28932,230.0000,1007
29120,360.0000,1011
29184,465.0000,891
29268,235.0000,618
29604,250.0000,464
29876,265.0000,795
29920,200.0000,700
