timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10224,275.0000,605
10304,175.0000,723
10420,225.0000,604
10612,405.0000,992
10804,215.0000,626
10976,175.0000,727
11288,320.0000,925
11412,195.0000,488
11416,285.0000,861
11700,245.0000,956
11752,105.0000,392
11876,230.0000,515
12296,250.0000,597
12324,120.0000,505
12416,180.0000,752
12736,260.0000,1494
12872,75.0000,507
12896,120.0000,602
13084,170.0000,821
13156,75.0000,468
13364,50.0000,250
13576,105.0000,540
13716,230.0000,880
13996,45.0000,337
14032,285.0000,704
14168,115.0000,627
14316,155.0000,1470
14448,105.0000,511
14580,155.0000,607
14636,135.0000,501
14784,175.0000,530
14836,180.0000,422
15276,75.0000,477
15328,110.0000,724
15436,85.0000,707
15568,145.0000,1026
15660,115.0000,416
15860,0.0000,468
15916,115.0000,635
16044,55.0000,509
16100,55.0000,294
16136,105.0000,510
16180,75.0000,299
16400,75.0000,416
16608,225.0000,470
16740,215.0000,663
17076,250.0000,1010
17132,420.0000,770
17232,155.0000,660
17596,115.0000,504
17644,120.0000,472
17804,230.0000,774
18012,245.0000,1316
18228,180.0000,665
18252,210.0000,668
18444,210.0000,684
18700,15.0000,492
18912,180.0000,718
18920,355.0000,943
18948,380.0000,559
19064,120.0000,403
19348,220.0000,485
19360,175.0000,506
19700,105.0000,402
19760,115.0000,459
19772,270.0000,758
19804,800.0000,904
20208,155.0000,496
20216,190.0000,508
20236,455.0000,568
20608,380.0000,857
21104,185.0000,939
21160,240.0000,984
21272,285.0000,1086
21280,310.0000,733
21656,170.0000,593
21704,0.0000,459
21712,30.0000,501
22036,120.0000,371
22140,205.0000,1019
22392,410.0000,782
22464,60.0000,478
22696,85.0000,610
22728,425.0000,1069
22872,215.0000,520
23016,245.0000,586
23480,150.0000,663
23520,215.0000,834
23696,275.0000,1057
23720,350.0000,748
23952,165.0000,527
24376,545.0000,707
24380,420.0000,914
24540,190.0000,637
24892,495.0000,1227
25044,160.0000,701
25360,250.0000,506
25416,130.0000,413
25592,355.0000,1089
25932,40.0000,383
26096,715.0000,1751
26292,350.0000,926
26388,540.0000,1066
26704,415.0000,812
26824,270.0000,579
26824,215.0000,495
27136,105.0000,348
27184,185.0000,1125
27328,230.0000,654
27364,205.0000,592
27728,335.0000,602
28020,650.0000,940
28056,435.0000,785
28600,295.0000,924
28612,310.0000,1295
28712,115.0000,729
28900,50.0000,349
28916,230.0000,918
29100,45.0000,232
29344,130.0000,490
29440,180.0000,779
29600,130.0000,533
29636,525.0000,1095
29668,120.0000,380
29892,225.0000,507
