timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10320,235.0000,700
10428,180.0000,615
10564,330.0000,971
10732,290.0000,1115
10988,35.0000,722
11064,0.0000,693
11204,25.0000,693
11228,75.0000,543
11424,105.0000,489
11520,105.0000,501
11780,210.0000,613
11872,210.0000,722
12012,120.0000,638
12204,40.0000,383
12256,135.0000,512
12552,215.0000,574
12696,380.0000,1224
12796,135.0000,590
12980,30.0000,476
13140,30.0000,378
13244,425.0000,1098
13348,80.0000,696
13892,275.0000,947
14056,440.0000,974
14152,115.0000,941
14504,105.0000,1192
14532,105.0000,535
14908,215.0000,1049
14988,270.0000,546
15088,115.0000,984
15228,50.0000,280
15232,295.0000,733
15512,205.0000,634
15748,105.0000,551
15748,105.0000,551
16072,85.0000,610
16368,200.0000,652
16444,260.0000,758
16496,125.0000,460
16588,500.0000,1562
16948,65.0000,491
17152,85.0000,622
17252,300.0000,848
17436,300.0000,1103
17584,240.0000,474
17696,195.0000,483
17792,140.0000,414
18152,175.0000,488
18224,185.0000,477
18408,670.0000,1494
18788,540.0000,1257
18836,115.0000,486
18912,540.0000,796
19132,515.0000,945
19336,175.0000,484
19412,205.0000,661
19576,300.0000,799
19964,165.0000,433
19988,325.0000,709
20056,440.0000,980
20228,275.0000,861
20440,195.0000,507
20504,170.0000,499
20688,160.0000,502
20840,380.0000,914
21160,185.0000,687
21312,315.0000,913
21488,75.0000,376
21528,260.0000,741
21672,425.0000,1039
22120,140.0000,846
22160,220.0000,693
22264,320.0000,837
22440,290.0000,817
22576,80.0000,510
22588,80.0000,471
22884,325.0000,672
23048,165.0000,498
23316,245.0000,928
23712,285.0000,871
23760,150.0000,506
23868,210.0000,1349
24184,290.0000,1182
24440,190.0000,712
24536,255.0000,878
24640,125.0000,496
24776,335.0000,939
24976,275.0000,574
25284,330.0000,784
25316,330.0000,731
25440,300.0000,704
25544,235.0000,621
25876,315.0000,630
26080,305.0000,820
26212,140.0000,393
26392,490.0000,991
26444,210.0000,934
26636,190.0000,606
26840,165.0000,679
26916,120.0000,518
27020,110.0000,690
27292,160.0000,511
27296,380.0000,695
27624,5.0000,369
27708,75.0000,468
27720,260.0000,856
27912,355.0000,943
27932,65.0000,243
27964,110.0000,307
28076,135.0000,490
28372,210.0000,507
28576,230.0000,667
28620,195.0000,730
28636,195.0000,593
29060,155.0000,522
29092,195.0000,779
29192,260.0000,624
29396,410.0000,817
29572,225.0000,524
29672,85.0000,336
29732,310.0000,721
29804,220.0000,657
