timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10252,5.0000,439
10348,155.0000,727
10348,85.0000,769
10452,240.0000,832
10712,185.0000,516
11020,205.0000,615
11032,135.0000,740
11340,110.0000,381
11484,215.0000,1190
11576,145.0000,910
11660,90.0000,684
11776,85.0000,474
12048,185.0000,520
12132,135.0000,703
12248,180.0000,641
12432,365.0000,707
12472,105.0000,466
12604,125.0000,524
12932,155.0000,495
13048,330.0000,833
13192,180.0000,645
13272,310.0000,877
13524,155.0000,652
13596,110.0000,594
13912,120.0000,696
14156,230.0000,996
14180,120.0000,695
14384,185.0000,531
14612,245.0000,1050
14640,5.0000,289
14716,120.0000,608
14764,110.0000,616
14932,0.0000,277
14936,50.0000,357
15008,50.0000,403
15164,95.0000,462
15296,135.0000,421
15532,235.0000,627
15756,300.0000,780
15908,225.0000,654
16068,430.0000,941
16228,170.0000,508
16428,420.0000,946
16504,100.0000,476
16588,240.0000,734
16856,25.0000,384
17028,135.0000,477
17136,400.0000,968
17220,480.0000,825
17516,140.0000,531
17568,375.0000,749
17856,255.0000,763
17932,145.0000,461
17972,190.0000,465
17996,270.0000,816
18424,100.0000,510
18440,145.0000,621
18496,125.0000,535
18820,185.0000,943
18888,125.0000,518
19040,85.0000,602
19180,260.0000,795
19324,25.0000,477
19432,40.0000,449
19444,75.0000,673
19604,60.0000,473
19860,60.0000,472
20052,75.0000,480
20160,490.0000,875
20164,215.0000,773
20528,130.0000,525
20604,90.0000,501
20632,255.0000,811
20836,370.0000,730
21200,155.0000,732
21292,160.0000,721
21316,75.0000,534
21368,265.0000,788
21640,140.0000,490
21772,110.0000,487
21868,205.0000,615
22076,180.0000,476
22100,40.0000,365
22140,275.0000,832
22292,115.0000,476
22664,170.0000,602
22744,125.0000,487
22792,170.0000,694
22944,255.0000,923
22992,50.0000,293
23204,115.0000,296
23208,210.0000,605
23240,135.0000,487
23324,30.0000,383
23800,155.0000,507
23836,405.0000,678
23932,275.0000,738
23944,245.0000,779
24184,30.0000,296
24240,85.0000,452
24324,145.0000,568
24392,20.0000,261
24500,140.0000,321
24748,470.0000,853
24796,125.0000,462
24808,125.0000,535
25380,160.0000,617
25392,135.0000,698
25624,50.0000,280
25636,230.0000,1181
25644,495.0000,900
26048,230.0000,711
26172,170.0000,592
26540,145.0000,541
26544,290.0000,974
26688,185.0000,1095
26884,35.0000,377
27252,165.0000,616
27256,265.0000,751
27324,725.0000,1198
27624,265.0000,790
27688,165.0000,474
27764,185.0000,551
28056,180.0000,487
28160,150.0000,436
28400,475.0000,1121
28548,515.0000,911
28600,95.0000,470
28888,275.0000,875
29052,325.0000,703
29208,255.0000,709
29304,125.0000,463
29340,370.0000,794
29652,215.0000,493
29832,170.0000,551
29948,385.0000,944
