timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10116,200.0000,498
10232,200.0000,612
10432,180.0000,851
10572,120.0000,758
10644,10.0000,468
10896,35.0000,519
10996,130.0000,480
11000,195.0000,930
11296,215.0000,705
11368,260.0000,526
11436,120.0000,485
11688,450.0000,748
11892,30.0000,504
12132,130.0000,480
12172,195.0000,856
12460,645.0000,1215
12536,355.0000,685
12572,190.0000,491
12792,185.0000,679
12956,130.0000,528
13380,195.0000,845
13576,580.0000,817
13840,90.0000,515
13848,325.0000,940
14236,105.0000,707
14288,685.0000,1786
14468,185.0000,686
14488,135.0000,674
14628,130.0000,451
14648,50.0000,420
15048,235.0000,614
15076,235.0000,619
15484,225.0000,470
15676,210.0000,1067
15712,300.0000,1129
15964,170.0000,512
15988,320.0000,942
16160,145.0000,515
16380,135.0000,709
16572,90.0000,471
16612,270.0000,671
17016,50.0000,482
17028,120.0000,703
17036,640.0000,1108
17112,125.0000,536
17496,120.0000,518
17548,80.0000,475
17676,255.0000,700
17948,350.0000,954
18128,240.0000,614
18188,260.0000,726
18288,135.0000,656
18648,50.0000,397
18900,225.0000,831
18948,190.0000,797
18968,215.0000,1065
19020,130.0000,429
19168,5.0000,278
19180,20.0000,254
19548,160.0000,705
19704,295.0000,581
19816,135.0000,705
20136,230.0000,633
20196,95.0000,434
20380,480.0000,1408
20664,185.0000,510
20704,105.0000,356
20796,410.0000,1142
20816,375.0000,719
21016,15.0000,272
21020,15.0000,254
21240,120.0000,284
21352,260.0000,725
21392,320.0000,737
21520,275.0000,561
21696,195.0000,488
22156,120.0000,824
22624,380.0000,1144
22792,205.0000,688
22848,310.0000,1550
23104,105.0000,354
23272,250.0000,479
23280,190.0000,697
23292,610.0000,1636
23604,115.0000,369
23668,165.0000,427
23668,165.0000,427
23888,240.0000,837
24136,130.0000,502
24172,155.0000,544
24316,255.0000,750
24504,415.0000,653
24604,135.0000,514
24884,270.0000,623
25216,410.0000,1083
25252,415.0000,787
25528,180.0000,702
25544,285.0000,989
25684,230.0000,528
25948,225.0000,470
26148,185.0000,953
26172,250.0000,538
26224,270.0000,710
26508,150.0000,596
26556,105.0000,460
26812,240.0000,689
26920,255.0000,740
26980,155.0000,515
27208,185.0000,710
27248,215.0000,494
27356,45.0000,488
27432,110.0000,491
27648,150.0000,495
27856,115.0000,545
28096,235.0000,697
28096,190.0000,500
28124,525.0000,921
28520,305.0000,700
28616,260.0000,547
28700,305.0000,656
28972,305.0000,933
29160,160.0000,499
29260,130.0000,795
29368,305.0000,795
29424,380.0000,513
29612,125.0000,500
29720,225.0000,498
