timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10340,110.0000,524
10492,170.0000,910
10640,500.0000,1023
10748,540.0000,1117
10752,120.0000,468
11132,270.0000,538
11136,285.0000,698
11136,230.0000,430
11144,170.0000,450
11344,60.0000,261
11568,185.0000,495
11784,135.0000,492
12152,230.0000,1064
12176,255.0000,646
12264,295.0000,1173
12572,140.0000,848
12628,115.0000,501
12724,40.0000,511
12940,50.0000,400
13092,30.0000,498
13112,220.0000,1004
13540,125.0000,650
13596,215.0000,904
13924,60.0000,376
13968,320.0000,892
14352,320.0000,860
14388,195.0000,480
14452,210.0000,1416
14824,120.0000,935
14992,95.0000,697
15572,525.0000,1222
15576,545.0000,783
15612,415.0000,1216
15888,315.0000,939
15920,105.0000,381
16008,190.0000,464
16180,190.0000,601
16344,135.0000,483
16472,230.0000,639
16560,155.0000,601
16636,80.0000,490
16992,260.0000,555
17108,185.0000,502
17180,525.0000,873
17416,225.0000,470
17464,205.0000,390
17516,565.0000,990
17900,195.0000,527
17920,355.0000,779
17992,225.0000,586
18212,310.0000,737
18380,120.0000,432
18436,200.0000,591
18868,560.0000,980
18880,225.0000,494
19112,530.0000,767
19224,470.0000,1049
19348,390.0000,516
19496,260.0000,666
19560,205.0000,503
19648,160.0000,484
19768,115.0000,480
19960,205.0000,523
20004,60.0000,293
20032,150.0000,522
20072,90.0000,482
20400,195.0000,474
20440,200.0000,489
20528,165.0000,503
20672,250.0000,674
20824,195.0000,463
21000,80.0000,508
21112,55.0000,487
21280,215.0000,882
21444,70.0000,673
21648,110.0000,407
21652,165.0000,702
21660,110.0000,606
21780,10.0000,372
22060,50.0000,467
22120,140.0000,511
22276,130.0000,541
22304,135.0000,710
22524,130.0000,507
22584,115.0000,507
22892,135.0000,406
22912,165.0000,688
23120,460.0000,591
23228,125.0000,383
23368,455.0000,1120
23504,240.0000,622
23852,475.0000,769
24252,220.0000,1061
24288,390.0000,953
24376,250.0000,562
24464,495.0000,1002
24720,260.0000,525
24976,300.0000,726
25056,285.0000,737
25256,325.0000,843
25440,175.0000,503
25520,195.0000,515
25544,405.0000,881
25764,135.0000,386
25864,260.0000,654
25936,185.0000,474
25980,185.0000,485
26364,260.0000,538
26408,325.0000,697
26456,210.0000,574
26480,250.0000,538
26728,75.0000,290
26908,235.0000,598
26992,270.0000,631
27028,280.0000,626
27300,210.0000,611
27440,150.0000,507
27576,295.0000,704
27592,385.0000,618
27732,90.0000,463
28104,190.0000,709
28240,415.0000,688
28280,460.0000,754
28368,555.0000,691
28668,175.0000,476
28760,465.0000,711
28924,250.0000,698
28976,255.0000,669
29232,105.0000,348
29308,335.0000,689
29336,175.0000,620
29572,245.0000,646
29652,125.0000,394
29688,75.0000,397
