timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10136,100.0000,517
10264,155.0000,646
10296,5.0000,483
10724,0.0000,487
10784,0.0000,693
10792,55.0000,1211
11128,0.0000,919
11372,0.0000,693
11432,0.0000,693
11768,0.0000,693
11828,0.0000,1103
11916,0.0000,536
11924,0.0000,599
12232,145.0000,515
12692,270.0000,900
12720,235.0000,856
12724,215.0000,844
12728,260.0000,528
13128,210.0000,485
13176,210.0000,515
13408,225.0000,728
13692,360.0000,1004
13820,285.0000,726
14076,265.0000,931
14096,125.0000,466
14560,225.0000,797
14576,195.0000,520
14868,345.0000,1494
15004,735.0000,977
15136,120.0000,635
15180,120.0000,636
15484,230.0000,541
15492,30.0000,389
15548,105.0000,711
15692,235.0000,572
15936,155.0000,510
16100,210.0000,642
16244,285.0000,726
16388,260.0000,734
16528,120.0000,461
17052,185.0000,1159
17088,270.0000,740
17200,495.0000,1006
17720,365.0000,1227
17780,285.0000,726
17832,180.0000,665
18048,310.0000,1049
18484,270.0000,739
18516,285.0000,726
18560,335.0000,899
18896,155.0000,473
19224,285.0000,1211
19284,415.0000,802
19356,210.0000,517
19424,230.0000,906
19812,230.0000,585
19820,395.0000,519
19980,530.0000,799
20068,70.0000,291
20196,160.0000,444
20216,270.0000,827
20664,285.0000,726
20756,285.0000,726
20900,260.0000,750
21260,395.0000,1102
21344,180.0000,643
21500,105.0000,636
21680,310.0000,1073
21924,15.0000,713
21996,90.0000,709
22160,145.0000,711
22476,200.0000,845
22712,210.0000,613
22716,445.0000,824
22836,245.0000,873
23028,105.0000,356
23156,245.0000,489
23304,225.0000,507
23536,625.0000,1110
23708,365.0000,720
23796,225.0000,531
23920,380.0000,824
24000,95.0000,526
24040,0.0000,378
24112,0.0000,378
24352,110.0000,483
24552,215.0000,490
24616,210.0000,613
24620,220.0000,655
24796,55.0000,290
25052,305.0000,743
25068,120.0000,333
25332,380.0000,751
25628,105.0000,347
25644,210.0000,644
25808,220.0000,1246
25964,255.0000,943
26080,205.0000,488
26224,70.0000,472
26232,250.0000,626
26392,105.0000,356
26704,215.0000,528
26956,440.0000,763
27008,595.0000,1099
27020,290.0000,678
27192,185.0000,525
27932,440.0000,968
27940,185.0000,950
28108,260.0000,1209
28232,500.0000,1080
28324,155.0000,426
28488,180.0000,600
28580,120.0000,388
28596,270.0000,538
29148,180.0000,609
29156,445.0000,884
29180,210.0000,633
29444,105.0000,349
29720,350.0000,1280
29748,265.0000,624
29952,240.0000,842
