timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10196,25.0000,383
10224,205.0000,604
10452,175.0000,872
10912,400.0000,1293
11004,205.0000,827
11084,40.0000,687
11236,0.0000,378
11236,170.0000,1096
11408,75.0000,465
11500,100.0000,468
11812,270.0000,631
11868,400.0000,679
12072,260.0000,623
12156,375.0000,784
12432,320.0000,673
12500,145.0000,486
12540,250.0000,436
12772,365.0000,954
12944,100.0000,475
12984,105.0000,479
13108,195.0000,708
13344,415.0000,616
13496,180.0000,602
13532,180.0000,606
13552,180.0000,490
13864,105.0000,347
14396,455.0000,1089
14432,230.0000,959
14504,155.0000,671
14856,430.0000,1419
14856,75.0000,522
15124,285.0000,726
15136,180.0000,665
15432,110.0000,631
15572,10.0000,484
15796,110.0000,707
15824,355.0000,1006
16028,255.0000,640
16472,200.0000,712
16504,275.0000,964
16676,255.0000,883
16904,390.0000,929
17072,185.0000,602
17168,285.0000,736
17472,145.0000,458
17536,260.0000,666
17764,75.0000,272
17900,70.0000,470
17904,695.0000,1289
18076,435.0000,943
18304,250.0000,441
18304,190.0000,439
18588,325.0000,866
18740,70.0000,491
18756,445.0000,737
18796,135.0000,532
19212,145.0000,513
19240,140.0000,708
19588,230.0000,826
19712,420.0000,1021
19916,365.0000,726
19944,220.0000,778
20168,185.0000,487
20344,195.0000,478
20660,180.0000,541
20720,415.0000,1167
20736,225.0000,829
20760,215.0000,478
21096,140.0000,495
21140,150.0000,478
21420,65.0000,693
21600,230.0000,520
21776,390.0000,1093
22024,210.0000,642
22052,290.0000,1006
22160,125.0000,444
22236,140.0000,691
22508,175.0000,498
22588,235.0000,616
22812,105.0000,358
22924,315.0000,806
23128,465.0000,933
23256,140.0000,480
23392,210.0000,506
23556,355.0000,1003
23596,180.0000,507
23864,235.0000,646
23964,105.0000,452
23988,215.0000,641
24216,450.0000,673
24700,310.0000,750
24760,330.0000,846
24868,160.0000,707
24980,430.0000,1172
25368,210.0000,639
25444,160.0000,606
25544,360.0000,617
25684,410.0000,1039
25888,110.0000,482
25992,185.0000,508
26416,445.0000,1092
26704,295.0000,1078
26728,370.0000,788
26896,805.0000,1047
27132,160.0000,477
27176,280.0000,810
27360,455.0000,683
27540,540.0000,705
27572,165.0000,478
27772,245.0000,643
28000,280.0000,692
28132,250.0000,601
28192,480.0000,705
28600,255.0000,508
28632,230.0000,489
28660,240.0000,924
28716,275.0000,754
28852,70.0000,285
28972,75.0000,304
29388,260.0000,591
29436,420.0000,865
29548,435.0000,944
29816,225.0000,488
29864,475.0000,942
