timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10252,170.0000,635
10336,185.0000,521
10436,195.0000,854
10460,155.0000,840
10716,15.0000,508
10868,115.0000,484
11148,190.0000,494
11360,245.0000,1071
11448,420.0000,1043
11488,105.0000,378
11824,320.0000,1011
11888,285.0000,572
12012,110.0000,575
12016,235.0000,621
12348,150.0000,508
12392,120.0000,621
12484,160.0000,508
12728,465.0000,762
12848,105.0000,515
13088,80.0000,392
13128,340.0000,823
13208,105.0000,393
13416,410.0000,989
13800,205.0000,641
13828,120.0000,468
13868,240.0000,829
14232,135.0000,493
14268,130.0000,1174
14388,190.0000,593
14676,510.0000,842
14680,120.0000,506
14736,185.0000,528
14976,260.0000,623
15540,175.0000,595
15544,350.0000,848
15660,285.0000,1017
15920,470.0000,1259
16128,110.0000,499
16348,155.0000,842
16464,155.0000,600
16564,410.0000,1050
16884,270.0000,595
17056,325.0000,553
17060,365.0000,955
17504,205.0000,485
17524,535.0000,1095
17728,370.0000,887
17860,125.0000,380
17884,245.0000,857
18088,165.0000,623
18624,310.0000,780
18624,345.0000,934
18948,385.0000,1131
19040,145.0000,985
19380,115.0000,488
19532,265.0000,965
19760,485.0000,1172
19956,510.0000,952
20272,355.0000,942
20280,80.0000,384
20308,165.0000,824
20524,280.0000,821
20908,170.0000,633
20924,160.0000,704
21140,135.0000,675
21396,555.0000,1174
21408,255.0000,550
21460,275.0000,590
21600,55.0000,265
21828,285.0000,733
21856,105.0000,509
22048,135.0000,482
22376,300.0000,956
22396,215.0000,606
22404,105.0000,395
22412,245.0000,607
22892,215.0000,549
22956,305.0000,603
23304,370.0000,921
23524,385.0000,1185
23560,440.0000,729
23596,180.0000,674
23756,85.0000,506
24064,255.0000,594
24124,165.0000,403
24180,255.0000,661
24324,205.0000,773
24404,190.0000,397
24496,225.0000,409
24592,195.0000,451
24664,115.0000,392
24892,80.0000,345
24984,225.0000,611
25080,210.0000,641
25348,170.0000,495
25452,230.0000,819
25576,215.0000,632
25992,350.0000,584
26052,645.0000,1024
26084,335.0000,792
26172,125.0000,636
26436,200.0000,495
26596,120.0000,484
26644,125.0000,615
26936,525.0000,942
26972,225.0000,428
26996,280.0000,605
27072,165.0000,476
27264,155.0000,383
27424,225.0000,499
27824,205.0000,612
27872,320.0000,838
27972,225.0000,609
28004,490.0000,1047
28168,145.0000,397
28460,160.0000,535
28652,465.0000,820
28656,300.0000,707
28832,290.0000,703
29292,170.0000,671
29324,230.0000,712
29852,665.0000,1446
29904,315.0000,663
29952,605.0000,1170
