timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10392,260.0000,775
10404,225.0000,825
10440,415.0000,626
10628,345.0000,1008
10984,110.0000,602
10988,110.0000,642
11012,180.0000,661
11176,110.0000,604
11476,30.0000,518
11644,120.0000,706
11908,180.0000,484
12028,410.0000,1102
12108,235.0000,987
12244,190.0000,649
12292,115.0000,444
12488,35.0000,288
12520,85.0000,528
12748,130.0000,691
12864,5.0000,395
12964,135.0000,704
13092,195.0000,641
13296,115.0000,468
13420,135.0000,504
13548,110.0000,517
13568,505.0000,851
13816,155.0000,575
13848,185.0000,488
14036,180.0000,517
14036,215.0000,526
14468,145.0000,466
14492,175.0000,488
14508,165.0000,717
14628,135.0000,870
14908,50.0000,476
14952,105.0000,516
15084,130.0000,491
15420,105.0000,499
15572,195.0000,704
15576,90.0000,526
15632,105.0000,1165
15988,120.0000,411
15992,135.0000,449
16036,115.0000,504
16084,140.0000,711
16512,140.0000,511
16564,180.0000,607
16660,155.0000,609
16696,460.0000,742
17100,160.0000,481
17364,245.0000,857
17432,315.0000,955
17840,410.0000,1189
17936,180.0000,614
18008,105.0000,636
18032,375.0000,967
18492,165.0000,695
18516,250.0000,542
18572,440.0000,672
18580,240.0000,631
18944,125.0000,510
19356,370.0000,898
19388,190.0000,863
19496,275.0000,980
19680,240.0000,785
19904,160.0000,593
20148,170.0000,701
20192,325.0000,847
20276,215.0000,647
20724,190.0000,609
20776,245.0000,621
20912,365.0000,1044
21048,250.0000,834
21204,145.0000,528
21880,415.0000,864
22028,395.0000,882
22160,405.0000,1300
22344,570.0000,1624
22572,390.0000,730
22684,260.0000,707
22724,240.0000,623
22936,210.0000,647
23384,250.0000,700
23408,465.0000,766
23420,295.0000,899
23528,430.0000,624
23776,35.0000,390
23832,110.0000,479
24080,270.0000,736
24400,570.0000,912
24488,310.0000,758
24648,340.0000,854
24920,195.0000,481
25092,720.0000,1056
25404,200.0000,517
25404,420.0000,1041
25536,70.0000,484
25548,390.0000,937
25824,65.0000,481
25840,50.0000,480
26072,55.0000,298
26240,510.0000,750
26392,330.0000,913
26492,310.0000,704
26524,210.0000,498
26844,245.0000,655
26852,90.0000,407
26992,165.0000,529
27040,160.0000,704
27312,135.0000,496
27524,75.0000,267
27568,270.0000,620
27900,340.0000,910
28028,135.0000,513
28076,545.0000,1280
28100,150.0000,613
28496,190.0000,514
28516,265.0000,652
28876,280.0000,855
28952,85.0000,477
29292,230.0000,839
29308,115.0000,483
29576,745.0000,1527
29696,460.0000,784
