timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10116,200.0000,498
10328,75.0000,512
10448,305.0000,830
10656,510.0000,1077
10792,230.0000,721
11148,475.0000,757
11204,345.0000,935
11264,125.0000,533
11476,250.0000,875
11628,75.0000,535
11664,15.0000,505
11724,30.0000,498
11904,105.0000,480
12020,50.0000,346
12100,110.0000,522
12224,120.0000,608
12440,20.0000,372
12516,165.0000,533
12540,90.0000,688
12716,190.0000,535
12972,190.0000,490
13208,430.0000,749
13304,370.0000,911
13412,260.0000,731
13600,190.0000,661
14000,290.0000,649
14324,275.0000,1054
14416,310.0000,864
14460,180.0000,1311
14464,75.0000,503
14948,105.0000,523
14948,105.0000,515
14964,180.0000,609
15020,155.0000,726
15348,80.0000,461
15376,185.0000,469
15428,125.0000,515
15472,130.0000,483
15828,105.0000,405
15936,275.0000,628
15992,215.0000,658
16216,405.0000,818
16284,180.0000,492
16396,130.0000,500
16872,225.0000,629
16880,265.0000,698
16964,250.0000,602
16984,415.0000,1048
17532,55.0000,712
17572,150.0000,736
17840,205.0000,893
17880,255.0000,952
17968,235.0000,479
18168,105.0000,346
18204,110.0000,273
18712,360.0000,918
18760,355.0000,1247
19000,355.0000,854
19084,455.0000,976
19188,180.0000,520
19412,170.0000,463
19532,225.0000,501
19580,225.0000,879
19612,45.0000,481
19944,70.0000,381
20104,190.0000,724
20188,230.0000,698
20260,110.0000,366
20340,85.0000,286
20500,565.0000,967
20676,70.0000,528
20972,90.0000,691
21404,145.0000,784
21456,545.0000,1255
21500,295.0000,1036
22140,610.0000,1218
22244,355.0000,821
22304,350.0000,854
22680,685.0000,1333
22852,200.0000,609
22896,220.0000,693
23172,180.0000,522
23328,500.0000,1228
23400,50.0000,266
23468,115.0000,659
23672,245.0000,829
23988,215.0000,714
24128,80.0000,491
24300,180.0000,940
24332,170.0000,904
24432,115.0000,482
24452,80.0000,369
24764,155.0000,477
25028,260.0000,788
25248,325.0000,856
25316,405.0000,916
25656,50.0000,680
25664,110.0000,471
25696,245.0000,970
25868,135.0000,582
26288,165.0000,674
26452,255.0000,627
26492,330.0000,852
26592,265.0000,983
26928,190.0000,697
26996,110.0000,595
27016,80.0000,484
27228,220.0000,791
27508,130.0000,559
27672,275.0000,700
27788,395.0000,914
27896,270.0000,716
27924,75.0000,307
28124,210.0000,654
28140,115.0000,403
28372,120.0000,493
28656,220.0000,568
28708,265.0000,640
28984,245.0000,655
29020,390.0000,1161
29308,215.0000,693
29336,215.0000,663
29584,165.0000,648
29684,220.0000,706
29812,205.0000,552
