timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1220,125.0000,470
1240,235.0000,836
1388,350.0000,929
1396,90.0000,646
1820,155.0000,611
1860,50.0000,496
1904,105.0000,564
2336,420.0000,1149
2352,75.0000,501
2416,170.0000,644
2492,240.0000,662
2800,110.0000,479
2852,120.0000,472
3028,230.0000,739
3100,210.0000,640
3112,75.0000,307
3416,155.0000,660
3660,180.0000,665
3792,285.0000,726
3884,105.0000,510
4100,75.0000,275
4308,385.0000,1255
4468,220.0000,711
4588,255.0000,967
4592,190.0000,528
4924,65.0000,395
5156,485.0000,892
5328,470.0000,785
5392,575.0000,962
5552,155.0000,666
5580,105.0000,477
5824,115.0000,540
5952,195.0000,609
6192,180.0000,663
6216,150.0000,713
6620,355.0000,724
6804,190.0000,1033
6852,320.0000,707
6904,145.0000,733
7168,200.0000,590
7492,280.0000,728
7704,310.0000,847
7716,515.0000,908
8148,460.0000,1017
8272,210.0000,614
8300,250.0000,634
8340,395.0000,890
8612,130.0000,323
8664,110.0000,449
8664,80.0000,423
8728,130.0000,633
9052,215.0000,493
9224,170.0000,556
9340,290.0000,716
9464,60.0000,289
9496,180.0000,477
9648,450.0000,1040
10044,145.0000,593
10056,225.0000,770
10308,215.0000,707
10356,185.0000,929
10752,240.0000,741
11012,120.0000,693
11068,470.0000,1068
11088,325.0000,827
11436,475.0000,727
11516,220.0000,503
11524,235.0000,551
11876,315.0000,833
11956,225.0000,485
11980,190.0000,514
12008,225.0000,616
12420,270.0000,591
12560,330.0000,632
12568,315.0000,663
12696,305.0000,744
12884,180.0000,523
13116,195.0000,592
13140,210.0000,618
13372,265.0000,730
13552,200.0000,491
13656,90.0000,336
13744,235.0000,659
13876,245.0000,1033
14284,260.0000,788
14344,350.0000,722
14392,300.0000,703
14620,75.0000,278
14752,710.0000,920
14792,195.0000,495
15068,250.0000,830
15232,230.0000,477
15312,405.0000,592
15336,340.0000,774
15716,120.0000,462
15912,155.0000,710
15916,215.0000,897
15928,155.0000,625
16484,175.0000,603
16492,220.0000,613
16548,290.0000,877
16584,190.0000,712
16972,215.0000,536
17008,185.0000,577
17256,330.0000,707
17408,645.0000,922
17572,410.0000,636
17744,255.0000,549
17768,455.0000,818
18128,270.0000,595
18160,185.0000,456
18180,260.0000,810
18464,310.0000,739
18772,200.0000,642
18804,320.0000,673
18828,185.0000,736
19076,300.0000,668
19280,90.0000,511
19280,100.0000,512
19448,410.0000,736
19808,240.0000,766
19852,220.0000,630
20092,285.0000,682
20120,195.0000,898
20380,185.0000,615
20532,160.0000,458
20704,395.0000,910
20888,265.0000,553
20908,665.0000,854
21008,190.0000,512
21552,230.0000,678
21560,405.0000,892
21716,280.0000,758
21948,450.0000,1116
22148,250.0000,623
22244,235.0000,728
22256,105.0000,357
22432,215.0000,777
22704,120.0000,519
22952,215.0000,746
22956,215.0000,564
23024,375.0000,907
23304,245.0000,659
23396,205.0000,504
23436,120.0000,521
23664,250.0000,673
23984,90.0000,378
23996,225.0000,747
24132,345.0000,769
24476,800.0000,1084
24632,215.0000,677
24640,230.0000,549
24992,175.0000,556
25000,425.0000,1061
25064,135.0000,476
25168,135.0000,575
25452,165.0000,490
25500,230.0000,562
25764,280.0000,650
25780,290.0000,753
25856,175.0000,461
25900,145.0000,455
26316,185.0000,607
26388,255.0000,583
26460,245.0000,608
26496,325.0000,762
26808,120.0000,451
26964,275.0000,680
27128,220.0000,705
27144,205.0000,700
27284,180.0000,524
27348,95.0000,261
27440,85.0000,516
27808,295.0000,695
28088,460.0000,864
28096,310.0000,787
28244,310.0000,844
28380,335.0000,613
28436,55.0000,373
28544,305.0000,507
28992,345.0000,810
29020,150.0000,519
29252,345.0000,922
29300,330.0000,921
29432,145.0000,493
29452,105.0000,486
29712,35.0000,298
