timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10264,155.0000,645
10296,5.0000,481
10444,60.0000,865
10812,240.0000,602
10816,260.0000,1198
10860,240.0000,623
10916,140.0000,524
11224,105.0000,362
11684,220.0000,926
11740,615.0000,924
11792,170.0000,618
11976,190.0000,1206
12132,0.0000,498
12172,0.0000,481
12244,0.0000,509
12396,75.0000,267
12544,215.0000,629
12700,120.0000,489
12956,200.0000,857
13008,140.0000,646
13152,380.0000,646
13396,205.0000,488
13548,265.0000,599
13612,340.0000,509
13664,265.0000,1014
14032,215.0000,521
14304,290.0000,726
14336,220.0000,976
14384,65.0000,385
14396,285.0000,794
14584,55.0000,281
14776,225.0000,529
14856,135.0000,516
14996,290.0000,671
15280,285.0000,726
15336,215.0000,616
15828,160.0000,528
15976,415.0000,1162
16016,480.0000,784
16076,225.0000,1120
16316,185.0000,523
16532,140.0000,496
16576,120.0000,594
16980,105.0000,483
17040,105.0000,505
17076,265.0000,1154
17148,180.0000,862
17468,120.0000,523
17524,170.0000,520
17848,280.0000,733
17892,190.0000,484
17972,280.0000,933
18132,235.0000,667
18416,105.0000,489
18440,195.0000,651
18592,225.0000,759
18856,15.0000,485
18908,150.0000,835
19204,430.0000,808
19236,370.0000,699
19372,130.0000,510
19388,215.0000,588
19892,155.0000,696
20324,665.0000,1145
20344,210.0000,1005
20540,270.0000,1207
20704,450.0000,852
20988,220.0000,721
21088,235.0000,601
21212,170.0000,563
21392,315.0000,1088
21568,105.0000,540
21952,250.0000,1013
21980,170.0000,825
22028,210.0000,696
22440,255.0000,912
22560,155.0000,642
22644,175.0000,697
22732,270.0000,739
23004,180.0000,602
23180,105.0000,489
23268,260.0000,755
23484,260.0000,878
23584,165.0000,457
23784,350.0000,826
23840,60.0000,291
23996,285.0000,787
24040,130.0000,593
24464,175.0000,485
24468,170.0000,524
24532,320.0000,787
24620,140.0000,824
24856,20.0000,381
24904,130.0000,492
25040,115.0000,472
25312,255.0000,512
25456,300.0000,1029
25720,265.0000,862
25976,215.0000,573
26020,210.0000,1011
26140,115.0000,480
26156,210.0000,894
26452,60.0000,513
26472,135.0000,494
26596,80.0000,500
26608,105.0000,487
26828,90.0000,262
26880,90.0000,466
27028,130.0000,488
27108,215.0000,686
27476,100.0000,688
27520,120.0000,698
27596,195.0000,535
27724,340.0000,742
27828,45.0000,385
27944,150.0000,475
28072,110.0000,299
28144,205.0000,584
28196,145.0000,517
28376,90.0000,287
28740,100.0000,728
28772,560.0000,887
28900,285.0000,753
29060,175.0000,720
29312,210.0000,621
29380,210.0000,661
29792,280.0000,940
29868,180.0000,589
29968,370.0000,959
