timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10296,230.0000,677
10312,260.0000,694
10324,110.0000,509
10576,105.0000,311
10724,135.0000,475
10844,260.0000,589
10904,490.0000,1325
11036,110.0000,504
11072,40.0000,281
11464,15.0000,478
11500,30.0000,478
11568,140.0000,717
11592,160.0000,929
11952,160.0000,486
12084,195.0000,661
12352,325.0000,838
12392,135.0000,487
12392,415.0000,836
12556,155.0000,507
12784,170.0000,484
12820,175.0000,478
13412,495.0000,686
13440,495.0000,945
13500,550.0000,1144
13528,245.0000,742
13876,210.0000,496
13932,140.0000,529
14056,165.0000,583
14096,165.0000,628
14264,5.0000,437
14388,105.0000,325
14396,100.0000,494
14532,180.0000,532
14696,15.0000,491
14788,50.0000,292
14820,80.0000,483
14908,30.0000,268
15056,110.0000,717
15420,235.0000,637
15480,220.0000,726
15492,110.0000,628
15820,340.0000,797
15828,170.0000,390
15852,85.0000,473
16128,340.0000,679
16212,50.0000,419
16312,110.0000,493
16560,160.0000,467
16772,420.0000,991
16852,85.0000,577
16920,210.0000,752
16996,275.0000,494
17232,80.0000,278
17244,145.0000,506
17360,210.0000,566
17712,295.0000,835
17788,75.0000,488
18140,350.0000,946
18164,65.0000,508
18356,125.0000,274
18440,160.0000,705
18560,855.0000,1364
18804,200.0000,688
18852,75.0000,352
19052,75.0000,300
19060,265.0000,755
19132,440.0000,732
19388,105.0000,397
19416,185.0000,608
19556,120.0000,527
19820,60.0000,465
19840,205.0000,746
20020,195.0000,642
20280,125.0000,500
20340,210.0000,555
20468,70.0000,499
20552,420.0000,1043
20764,30.0000,271
20772,145.0000,489
20936,170.0000,528
21088,295.0000,859
21348,155.0000,608
21432,245.0000,719
21544,135.0000,650
21760,20.0000,450
21976,300.0000,922
22120,355.0000,730
22336,210.0000,616
22524,445.0000,1018
22716,110.0000,441
22724,180.0000,658
22876,210.0000,946
23164,235.0000,687
23328,210.0000,640
23336,135.0000,512
23404,270.0000,740
23764,115.0000,407
23812,430.0000,688
24164,140.0000,459
24376,450.0000,1071
24584,295.0000,828
24624,390.0000,1334
24920,215.0000,588
24940,235.0000,411
24980,235.0000,411
25216,320.0000,1097
25384,130.0000,493
25408,130.0000,481
25476,320.0000,607
25644,115.0000,484
25728,75.0000,297
25812,125.0000,462
25992,200.0000,643
26152,55.0000,392
26204,105.0000,514
26332,160.0000,731
26608,75.0000,458
26660,180.0000,709
26892,445.0000,793
26916,210.0000,630
27132,105.0000,512
27188,210.0000,615
27344,110.0000,506
27372,110.0000,506
27496,105.0000,396
27592,90.0000,455
27812,140.0000,489
28036,190.0000,730
28072,245.0000,533
28288,35.0000,509
28460,570.0000,1018
28608,445.0000,623
28732,335.0000,700
29016,185.0000,614
29036,75.0000,475
29500,315.0000,1255
29616,160.0000,649
29696,185.0000,711
29740,565.0000,1052
29860,25.0000,394
